id,probability,payoutMultiplier
1082,1000000,403.27
1083,1000000,17.43
1084,1000000,2.56
1085,1000000,171.13
1086,1000000,112.9
1087,1000000,80.13
1088,1000000,22.21
1089,1000000,33.24
1090,1000000,101.34
1091,1000000,15.37
1092,1000000,41.97
1093,1000000,328.13
1094,1000000,149.23
1095,1000000,240.66
1096,1000000,21.87
1097,1000000,257.17
1098,1000000,20.35
1099,1000000,0.81
1100,1000000,16.56
1101,1000000,7.55
1102,1000000,67.88
1103,1000000,90.67
1104,1000000,74.32
1105,1000000,290.04
1106,1000000,67.43
1107,1000000,0.0
1108,1000000,126.45
1109,1000000,0.43
1110,1000000,3.78
1111,1000000,102.32
1112,1000000,276.91
1113,1000000,58.09
1114,1000000,131.1
1115,1000000,231.78
1116,1000000,154.59
1117,1000000,2.06
1118,1000000,26.02
1119,1000000,272.05
1120,1000000,8.3
1121,1000000,166.42
1122,1000000,168.39
1123,1000000,250.63
1124,1000000,315.77
1125,1000000,109.42
1126,1000000,310.76
1127,1000000,301.46
1128,1000000,290.45
1129,1000000,49.17
1130,1000000,0.8
1131,1000000,9.63
1132,1000000,95.73
1133,1000000,114.45
1134,1000000,11.99
1135,1000000,49.92
1136,1000000,31.72
1137,1000000,150.09
1138,1000000,1.53
1139,1000000,301.01
1140,1000000,1.35
1141,1000000,6.17
1142,1000000,0.16
1143,1000000,267.53
1144,1000000,1.1
1145,1000000,21.94
1146,1000000,0.0
1147,1000000,110.21
1148,1000000,326.89
1149,1000000,236.16
1150,1000000,331.31
1151,1000000,220.96
1152,1000000,0.05
1153,1000000,213.87
1154,1000000,98.73
1155,1000000,225.35
1156,1000000,410.22
1157,1000000,7.36
1158,1000000,2.03
1159,1000000,33.86
1160,1000000,137.94
1161,1000000,271.3
1162,1000000,161.28
1163,1000000,167.81
1164,1000000,171.57
1165,1000000,165.5
1166,1000000,45.73
1167,1000000,1.67
1168,1000000,104.6
1169,1000000,130.78
1170,1000000,29.87
1171,1000000,0.0
1172,1000000,246.85
1173,1000000,1.79
1174,1000000,107.67
1175,1000000,6.31
1176,1000000,212.07
1177,1000000,44.12
1178,1000000,57.57
1179,1000000,22.46
1180,1000000,13.56
1181,1000000,253.62
