id,criteria,baseGameWins,freeGameWins,payoutMultiplier
665,freegame,0.0,49.6,49.6
666,freegame,0.0,39.6,39.6
667,freegame,0.0,134.37,134.37
668,freegame,0.0,11.49,11.49
669,freegame,0.0,197.0,197.0
670,freegame,0.0,242.7,242.7
671,freegame,0.0,243.17,243.17
672,freegame,0.0,50.95,50.95
673,freegame,0.0,131.91,131.91
674,freegame,0.0,45.45,45.45
675,freegame,0.0,166.07,166.07
676,freegame,0.0,245.44,245.44
677,freegame,0.0,221.92,221.92
678,freegame,0.0,0.04,0.04
679,freegame,0.0,1.61,1.61
680,freegame,0.0,113.78,113.78
681,freegame,0.0,211.04,211.04
682,freegame,0.0,234.62,234.62
683,freegame,0.0,121.05,121.05
684,freegame,0.0,268.51,268.51
685,freegame,0.0,0.44,0.44
686,freegame,0.0,71.52,71.52
687,freegame,0.0,0.21,0.21
688,freegame,0.0,127.86,127.86
689,freegame,0.0,340.86,340.86
690,freegame,0.0,50.76,50.76
691,freegame,0.0,177.88,177.88
692,freegame,0.0,33.63,33.63
693,freegame,0.0,43.75,43.75
694,freegame,0.0,38.85,38.85
695,freegame,0.0,186.67,186.67
696,freegame,0.0,9.73,9.73
697,freegame,0.0,283.86,283.86
698,freegame,0.0,209.03,209.03
699,freegame,0.0,213.1,213.1
700,freegame,0.0,250.42,250.42
701,freegame,0.0,273.95,273.95
702,freegame,0.0,373.82,373.82
703,freegame,0.0,27.64,27.64
704,freegame,0.0,3.48,3.48
705,freegame,0.0,59.69,59.69
706,freegame,0.0,466.6,466.6
707,freegame,0.0,165.86,165.86
708,freegame,0.0,38.71,38.71
709,freegame,0.0,13.54,13.54
710,freegame,0.0,124.69,124.69
711,freegame,0.0,144.72,144.72
712,freegame,0.0,6.16,6.16
713,freegame,0.0,221.87,221.87
714,freegame,0.0,159.44,159.44
715,freegame,0.0,191.54,191.54
716,freegame,0.0,292.4,292.4
717,freegame,0.0,158.58,158.58
718,freegame,0.0,35.58,35.58
719,freegame,0.0,61.78,61.78
720,freegame,0.0,53.61,53.61
721,freegame,0.0,20.77,20.77
722,freegame,0.0,332.55,332.55
723,freegame,0.0,156.13,156.13
724,freegame,0.0,13.45,13.45
725,freegame,0.0,3.17,3.17
726,freegame,0.0,59.28,59.28
727,freegame,0.0,334.43,334.43
728,freegame,0.0,3.15,3.15
729,freegame,0.0,29.38,29.38
730,freegame,0.0,2.96,2.96
731,freegame,0.0,0.19,0.19
732,freegame,0.0,223.98,223.98
733,freegame,0.0,24.83,24.83
734,freegame,0.0,207.89,207.89
735,freegame,0.0,21.49,21.49
736,freegame,0.0,456.96,456.96
737,freegame,0.0,175.91,175.91
738,freegame,0.0,211.79,211.79
739,freegame,0.0,9.5,9.5
740,freegame,0.0,5.31,5.31
741,freegame,0.0,17.59,17.59
742,freegame,0.0,2.06,2.06
743,freegame,0.0,169.23,169.23
744,freegame,0.0,225.73,225.73
745,freegame,0.0,148.1,148.1
746,freegame,0.0,1.81,1.81
747,freegame,0.0,120.88,120.88
748,freegame,0.0,146.9,146.9
749,freegame,0.0,108.81,108.81
750,freegame,0.0,291.23,291.23
751,freegame,0.0,341.98,341.98
752,freegame,0.0,3.54,3.54
753,freegame,0.0,277.24,277.24
754,freegame,0.0,7.08,7.08
755,freegame,0.0,227.54,227.54
756,freegame,0.0,36.08,36.08
757,freegame,0.0,334.45,334.45
758,freegame,0.0,24.53,24.53
759,freegame,0.0,4.77,4.77
760,freegame,0.0,88.65,88.65
761,freegame,0.0,151.92,151.92
762,freegame,0.0,48.12,48.12
763,freegame,0.0,44.72,44.72
764,freegame,0.0,80.71,80.71
765,freegame,0.0,135.89,135.89
766,freegame,0.0,131.94,131.94
